Control Level,Freq 1,Freq 2,Freq 3,Freq 4,Freq 5,Freq 6,Freq 7,Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Seq 1,Seq 2,Seq 3,Seq 4,Seq 5,Seq 6,Seq 7,Seq 8,Goal 10-3,Goal 10-4,Goal 11-3,Goal 11-4,Behaviour 2-10,Behaviour 2-11,Behaviour 6-10,
1,0.3,0.5,0.7,1,0.6,0.4,0.2,0,0.5,1,1,1,0.5,0.5,1,0,0.5,0.5,0,0,0,0.8,0.2,1,0.2,0.8,0.2,1,0.2
2,0.3,0.5,0.7,1,0.6,0.4,0.2,0,0.5,1,1,1,0.5,0.5,1,0,0.5,1,0,0,0,0.8,0.2,1,0.2,0.8,0.2,1,0.2
3,0.4,0.6,0.7,1,0.7,0.6,0.4,0,0.8,1,0.8,0.8,0.5,1,1,0,0.5,1,0,0,0,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2
4,0.4,0.6,0.7,1,0.8,0.6,0.4,0.3,0.8,1,0.8,0.2,0.3,1,1,0,0.5,1,0,0,0,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2
5,0.2,0.7,1,0.8,1,0.6,0.6,0.3,0.9,0.8,0.7,0.2,0.3,1,1,0,1,1,0,0,0,0.7,0.2,0.8,0.2,0.7,0.2,0.8,0.2
6,0.2,0.7,1,0.8,1,0.8,0.6,0.3,0.9,0.8,0.7,0.2,0.2,1,0.5,0.5,1,1,0,0.5,0,0.7,0.3,0.7,0.3,0.7,0.3,0.7,0.3
7,0.2,0.7,1,0.8,0.8,1,0.6,0.3,1,0.8,0.6,0.2,0.2,0.5,0.5,0.5,1,1,0,0.5,0,0.7,0.3,0.7,0.3,0.7,0.3,0.7,0.3
8,0,0.7,1,0.8,0.6,1,0.8,0.3,1,0.8,0.6,0.2,0.1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.6,0.3,0.7,0.3,0.7,0.3,0.7,0.3
9,0,0.8,0.8,0.2,0.6,0.8,1,0.3,1,0.8,0.6,0.1,0.1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0.4,0.6,0.3,0.5,0.4,0.6,0.3
10,0,0.8,0.8,0.2,0.3,0.6,1,0.3,1,0.8,0.5,0.1,0.1,0.5,0.5,1,1,0.8,0,1,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4
11,0.5,1,0.8,0.1,0.3,0.6,0.8,0.2,0.8,0.8,0.5,0.1,0,0.5,0.5,1,1,0.5,0.5,1,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.5
12,0.5,1,0.5,0.1,0.3,0.5,0.8,0.2,0.8,0.8,0.6,0.1,0,0.5,0,1,1,0.5,0.5,1,0.5,0.3,0.7,0.3,0.5,0.3,0.7,0.3,0.5
13,0.7,1,0.5,0.1,0.1,0.4,0.6,0.2,0.6,0.8,0.6,0.1,0,0.5,0,1,1,0.5,0.5,1,1,0.3,0.7,0.3,0.6,0.3,0.7,0.3,0.6
14,0.7,1,0.5,0,0.1,0.3,0.4,0.2,0.6,0.8,0.7,0.1,0,0,0,1,1,0.5,0.5,1,1,0.3,0.7,0.3,0.7,0.3,0.7,0.3,0.7
15,0.8,1,0.3,0,0.1,0.2,0.4,0.1,0.6,0.8,0.8,0.1,0,0,0,1,0.5,0,1,1,1,0.3,0.8,0.2,0.7,0.3,0.8,0.2,0.7
16,1,0.7,0.3,0,0,0.1,0.2,0.1,0.3,0.9,0.8,0,0,0,0,0.5,0.5,0,1,1,1,0.2,0.8,0.2,0.7,0.2,0.8,0.2,0.7
17,1,0.7,0.1,0,0,0,0.2,0.1,0.3,1,1,0,0,0,0,0.5,0.5,0,1,1,1,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8
18,1,0.6,0,0,0,0,0,0.1,0.3,1,1,0,0,0,0,0.5,0.5,0,1,1,1,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8
19,1,0.6,0,0,0,0,0,0.1,0.3,0.8,1,0,0,0,0,0,0,0,1,0.5,1,0.2,1,0,0.8,0.2,1,0,0.8
20,1,0.5,0,0,0,0,0,0.1,0.3,0.8,1,0,0,0,0,0,0,0,1,0.5,1,0.2,1,0,0.8,0.2,1,0,0.8
